kalori,protein,karbohidrat,lemak,serat,gula,label
560,3,84,16,1,57,0
132,21,30,2,3,9,1
269,7,28,4,10,3,1
728,5,56,32,1,47,0
693,6,64,20,1,34,0
267,5,14,4,11,7,1
215,9,32,9,7,10,1
483,4,63,39,2,40,0
646,7,79,27,0,45,0
762,5,72,34,0,53,0
167,17,23,2,13,12,1
755,7,96,25,0,33,0
296,22,35,9,12,2,1
81,10,23,2,10,10,1
403,3,79,35,2,56,0
494,1,78,20,1,35,0
299,5,10,1,14,8,1
572,4,68,22,0,56,0
772,6,51,31,2,46,0
692,6,52,25,1,54,0
628,4,71,20,2,41,0
167,14,26,3,11,13,1
130,12,26,7,7,12,1
93,24,10,5,6,12,1
658,6,83,23,0,35,0
474,6,98,25,2,46,0
567,4,86,22,0,39,0
688,7,89,31,1,38,0
518,3,59,17,2,38,0
269,13,25,7,11,7,1
786,1,65,39,0,55,0
295,18,20,1,9,11,1
441,3,99,37,2,53,0
439,6,67,24,1,34,0
539,3,50,15,1,56,0
94,9,10,4,4,6,1
161,11,27,7,4,11,1
214,16,23,3,7,2,1
84,24,39,4,5,2,1
259,5,18,5,13,4,1
112,24,34,4,4,2,1
292,5,35,7,5,3,1
134,9,21,5,12,3,1
211,21,17,8,7,4,1
469,6,81,26,1,34,0
168,16,30,3,10,6,1
241,10,35,5,14,10,1
130,14,38,4,8,7,1
699,4,95,17,0,42,0
282,19,12,8,9,3,1
225,20,36,8,14,9,1
630,4,75,31,1,58,0
475,3,54,37,1,37,0
120,15,38,5,3,4,1
468,1,68,33,0,31,0
725,2,82,16,0,30,0
100,19,30,1,13,9,1
143,5,37,4,14,5,1
424,3,76,31,1,53,0
482,5,77,16,1,38,0
719,5,51,30,1,42,0
768,2,71,18,1,31,0
699,2,51,28,2,32,0
211,21,18,8,5,4,1
187,13,26,6,8,4,1
593,7,88,22,0,32,0
446,3,52,18,0,56,0
132,9,32,1,8,7,1
591,5,58,26,0,46,0
720,4,80,21,1,50,0
500,7,70,19,2,32,0
437,2,86,34,1,42,0
183,20,17,9,12,8,1
242,7,28,9,3,5,1
510,3,95,37,2,55,0
285,24,16,3,3,4,1
270,20,11,2,12,5,1
710,5,94,16,0,56,0
167,16,21,9,3,11,1
459,5,52,38,0,32,0
229,8,31,5,14,7,1
635,6,75,27,2,40,0
251,9,32,1,11,6,1
190,22,34,5,5,14,1
571,1,92,15,2,54,0
119,13,32,1,14,6,1
